" CRUSH DATA"
"Data file SS05.txt"
"Time is 11:17:12.50."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
     .620	     -56.152	      -5.896	
     .640	     -57.373	      -5.896	
     .661	     -56.152	      -5.896	
     .680	     -56.152	      -5.914	
     .700	     -56.152	      -5.914	
     .721	     -56.152	      -5.896	
     .741	     -56.152	      -5.914	
     .761	     -56.152	      -5.914	
     .781	     -56.152	      -5.914	
     .801	     -57.373	      -5.896	
     .820	     -56.152	      -5.914	
     .840	     -57.373	      -5.914	
     .860	     -54.932	      -5.914	
     .880	     -57.373	      -5.914	
     .900	     -56.152	      -5.896	
     .920	     -57.373	      -5.896	
     .941	     -56.152	      -5.914	
     .961	     -56.152	      -5.914	
     .981	     -57.373	      -5.896	
    1.000	     -56.152	      -5.933	
    1.021	     -56.152	      -5.914	
    1.041	     -56.152	      -5.914	
    1.060	     -56.152	      -5.914	
    1.080	     -56.152	      -5.914	
    1.100	     -57.373	      -5.914	
    1.120	     -57.373	      -5.896	
    1.141	     -56.152	      -5.914	
    1.161	     -56.152	      -5.896	
    1.181	     -56.152	      -5.914	
    1.201	     -56.152	      -5.914	
    1.220	     -84.229	      -6.116	
    1.241	     -89.111	      -6.189	
    1.260	     -59.814	      -6.006	
    1.280	    -137.939	      -6.702	
    1.300	     -91.553	      -6.665	
    1.320	     -63.477	      -6.372	
    1.340	     -32.959	      -5.823	
    1.360	     -20.752	      -5.310	
    1.381	     -46.387	      -5.695	
    1.401	     -67.139	      -6.042	
    1.421	     -18.311	      -5.273	
    1.441	     -53.711	      -5.695	
    1.461	     -34.180	      -5.640	
    1.480	     -61.035	      -5.896	
    1.500	     -75.684	      -6.152	
    1.520	      -8.545	      -4.669	
    1.540	     -43.945	      -5.310	
    1.560	     -19.531	      -5.164	
    1.580	     -28.076	      -5.127	
    1.601	     -41.504	      -5.457	
    1.621	     -57.373	      -5.750	
    1.641	     -89.111	      -6.226	
    1.661	     -84.229	      -6.317	
    1.681	    -123.291	      -6.720	
    1.701	    -164.795	      -7.397	
    1.720	    -174.561	      -7.819	
    1.740	     -96.436	      -7.526	
    1.760	    -212.402	      -8.221	
    1.780	     -85.449	      -7.874	
    1.801	     -50.049	      -7.251	
    1.821	     -36.621	      -6.866	
    1.841	     -51.270	      -6.903	
    1.861	     -28.076	      -6.537	
    1.881	     -20.752	      -5.988	
    1.901	     -26.855	      -5.933	
    1.920	     -13.428	      -5.402	
    1.940	     -10.986	      -5.072	
    1.960	     -25.635	      -5.365	
    1.980	     -32.959	      -5.695	
    2.000	     -17.090	      -5.420	
    2.019	     -29.297	      -5.493	
    2.041	     -42.725	      -5.878	
    2.061	     -50.049	      -6.134	
    2.081	     -34.180	      -5.933	
    2.101	     -20.752	      -5.585	
    2.121	     -63.477	      -6.299	
    2.141	     -26.855	      -6.006	
    2.160	     -13.428	      -5.365	
    2.180	     -12.207	      -4.999	
    2.200	      -4.883	      -4.523	
    2.220	     -39.063	      -5.438	
    2.241	     -72.021	      -6.482	
    2.261	     -51.270	      -6.427	
    2.281	     -53.711	      -6.409	
    2.301	     -21.973	      -5.804	
    2.321	     -50.049	      -6.116	
    2.341	     -34.180	      -6.061	
    2.360	     -32.959	      -5.988	
    2.380	     -20.752	      -5.640	
    2.400	     -58.594	      -6.226	
    2.420	     -18.311	      -5.786	
    2.440	     -13.428	      -5.273	
    2.460	     -25.635	      -5.420	
    2.481	     -23.193	      -5.420	
    2.501	     -63.477	      -6.244	
    2.521	     -69.580	      -6.610	
    2.541	     -37.842	      -6.262	
    2.561	     -56.152	      -6.390	
    2.581	     -81.787	      -6.793	
    2.600	     -42.725	      -6.464	
    2.620	     -73.242	      -6.720	
    2.640	     -97.656	      -7.123	
    2.660	     -68.359	      -6.995	
    2.681	     -75.684	      -7.050	
    2.701	     -36.621	      -6.519	
    2.721	     -31.738	      -6.262	
    2.741	     -84.229	      -6.940	
    2.760	     -79.346	      -7.068	
    2.781	     -21.973	      -6.116	
    2.800	     -35.400	      -6.134	
    2.820	     -15.869	      -5.603	
    2.840	     -14.648	      -5.237	
    2.860	     -12.207	      -4.999	
    2.880	     -31.738	      -5.475	
    2.900	     -17.090	      -5.365	
    2.921	     -40.283	      -5.859	
    2.941	     -15.869	      -5.420	
    2.961	     -18.311	      -5.127	
    2.981	     -59.814	      -6.171	
    3.001	     -56.152	      -6.427	
    3.021	     -52.490	      -6.409	
    3.040	     -70.801	      -6.628	
    3.060	     -68.359	      -6.720	
    3.080	     -45.166	      -6.482	
    3.100	     -31.738	      -6.134	
    3.121	     -48.828	      -6.354	
    3.141	     -46.387	      -6.390	
    3.161	     -90.332	      -6.921	
    3.181	     -36.621	      -6.500	
    3.200	     -46.387	      -6.445	
    3.221	     -18.311	      -5.859	
    3.240	     -29.297	      -5.859	
    3.260	     -17.090	      -5.548	
    3.280	     -68.359	      -6.482	
    3.300	     -63.477	      -6.683	
    3.320	     -23.193	      -6.006	
    3.340	     -56.152	      -6.335	
    3.361	     -51.270	      -6.427	
    3.381	     -69.580	      -6.683	
    3.401	     -19.531	      -5.951	
    3.420	     -18.311	      -5.548	
    3.441	     -19.531	      -5.530	
    3.460	     -47.607	      -6.116	
    3.480	     -75.684	      -6.720	
    3.500	     -97.656	      -7.123	
    3.520	     -40.283	      -6.628	
    3.540	     -23.193	      -5.988	
    3.560	     -19.531	      -5.713	
    3.581	     -26.855	      -5.750	
    3.601	     -14.648	      -5.475	
    3.621	     -12.207	      -5.127	
    3.641	     -30.518	      -5.511	
    3.661	     -10.986	      -5.273	
    3.681	      -4.883	      -4.633	
    3.700	     -18.311	      -4.907	
    3.720	     -32.959	      -5.420	
    3.740	     -34.180	      -5.640	
    3.760	     -45.166	      -5.896	
    3.781	     -63.477	      -6.409	
    3.801	     -34.180	      -6.116	
    3.821	     -23.193	      -5.750	
    3.841	      -7.324	      -4.834	
    3.861	     -34.180	      -5.457	
    3.881	     -47.607	      -6.006	
    3.900	     -73.242	      -6.573	
    3.920	     -69.580	      -6.702	
    3.940	     -70.801	      -6.738	
    3.960	     -21.973	      -5.951	
    3.980	     -31.738	      -5.878	
    4.000	     -70.801	      -6.592	
    4.021	     -36.621	      -6.226	
    4.041	     -17.090	      -5.658	
    4.061	     -14.648	      -5.273	
    4.081	      -8.545	      -4.889	
    4.101	     -21.973	      -5.145	
    4.121	     -28.076	      -5.475	
    4.140	     -15.869	      -5.164	
    4.160	     -10.986	      -4.834	
    4.180	     -25.635	      -5.182	
    4.200	     -32.959	      -5.548	
    4.221	     -17.090	      -5.127	
    4.241	      -4.883	      -4.578	
    4.261	     -13.428	      -4.669	
    4.281	      -4.883	      -4.340	
    4.300	      -6.104	      -4.248	
    4.321	     -29.297	      -5.054	
    4.340	     -18.311	      -4.944	
    4.360	     -48.828	      -5.731	
    4.380	     -62.256	      -6.354	
    4.400	     -20.752	      -5.621	
