" CRUSH DATA"
"Data file SS05.txt"
"Time is 12:05:32.24."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    3.180	     -10.986	      -5.896	
    3.200	      -9.766	      -5.896	
    3.220	     -10.986	      -5.933	
    3.240	     -10.986	      -5.914	
    3.260	     -10.986	      -5.914	
    3.280	     -10.986	      -5.896	
    3.300	     -10.986	      -5.914	
    3.320	     -12.207	      -5.914	
    3.341	     -10.986	      -5.914	
    3.361	     -10.986	      -5.896	
    3.381	     -10.986	      -5.914	
    3.401	     -10.986	      -5.914	
    3.421	     -12.207	      -5.914	
    3.440	     -12.207	      -5.914	
    3.460	     -12.207	      -5.896	
    3.480	     -10.986	      -5.914	
    3.500	     -10.986	      -5.914	
    3.521	     -12.207	      -5.896	
    3.540	     -10.986	      -5.914	
    3.561	     -10.986	      -5.914	
    3.581	     -10.986	      -5.896	
    3.601	     -10.986	      -5.896	
    3.621	     -10.986	      -5.914	
    3.641	     -10.986	      -5.914	
    3.660	     -12.207	      -5.914	
    3.680	     -10.986	      -5.914	
    3.700	     -10.986	      -5.914	
    3.720	     -12.207	      -5.896	
    3.741	     -10.986	      -5.914	
    3.760	     -12.207	      -5.896	
    3.781	     -10.986	      -5.914	
    3.801	     -10.986	      -5.914	
    3.821	     -10.986	      -5.896	
    3.841	     -10.986	      -5.914	
    3.861	     -10.986	      -5.896	
    3.880	     -10.986	      -5.914	
    3.900	     -10.986	      -5.914	
    3.920	     -10.986	      -5.914	
    3.940	     -10.986	      -5.914	
    3.960	     -12.207	      -5.896	
    3.980	      -6.104	      -5.713	
    4.001	     -10.986	      -5.878	
    4.021	      -7.324	      -5.768	
    4.041	     -14.648	      -5.969	
    4.061	     -17.090	      -6.189	
    4.081	       0.000	      -4.688	
    4.100	      -9.766	      -5.292	
    4.120	      -1.221	      -5.127	
    4.140	      -4.883	      -5.109	
    4.160	      -9.766	      -5.402	
    4.181	     -12.207	      -5.731	
    4.200	     -18.311	      -6.189	
    4.221	     -19.531	      -6.281	
    4.241	     -26.855	      -6.720	
    4.261	     -36.621	      -7.379	
    4.281	     -36.621	      -7.819	
    4.301	     -23.193	      -7.526	
    4.320	     -45.166	      -8.185	
    4.340	     -20.752	      -7.837	
    4.360	     -13.428	      -7.251	
    4.380	      -9.766	      -6.866	
    4.400	     -12.207	      -6.921	
    4.420	      -6.104	      -6.519	
    4.440	      -3.662	      -5.951	
    4.461	      -4.883	      -5.896	
    4.481	      -1.221	      -5.365	
    4.501	      -1.221	      -5.017	
    4.521	      -4.883	      -5.347	
    4.540	      -7.324	      -5.640	
    4.560	      -2.441	      -5.383	
    4.580	      -6.104	      -5.475	
    4.600	      -8.545	      -5.859	
    4.621	     -10.986	      -6.116	
    4.640	      -7.324	      -5.951	
    4.661	      -3.662	      -5.548	
    4.681	     -15.869	      -6.299	
    4.701	      -4.883	      -5.969	
    4.721	      -2.441	      -5.310	
    4.741	      -2.441	      -4.999	
    4.760	       1.221	      -4.504	
    4.780	      -9.766	      -5.457	
    4.800	     -14.648	      -6.445	
    4.820	     -10.986	      -6.427	
    4.840	     -12.207	      -6.409	
    4.860	      -3.662	      -5.786	
    4.881	      -9.766	      -6.116	
    4.901	      -8.545	      -6.061	
    4.921	      -8.545	      -5.988	
    4.941	      -4.883	      -5.640	
    4.961	     -14.648	      -6.226	
    4.980	      -6.104	      -5.804	
    5.000	      -2.441	      -5.292	
    5.020	      -7.324	      -5.420	
    5.040	      -2.441	      -5.420	
    5.061	     -13.428	      -6.317	
    5.080	     -15.869	      -6.628	
    5.101	     -10.986	      -6.262	
    5.121	     -12.207	      -6.390	
    5.141	     -18.311	      -6.812	
    5.161	      -7.324	      -6.445	
    5.181	     -18.311	      -6.702	
    5.200	     -21.973	      -7.086	
    5.220	     -17.090	      -6.995	
    5.240	     -20.752	      -7.031	
    5.260	      -8.545	      -6.537	
    5.280	      -7.324	      -6.244	
    5.300	     -21.973	      -6.921	
    5.321	     -19.531	      -7.086	
    5.341	      -3.662	      -6.116	
    5.361	     -10.986	      -6.152	
    5.381	      -1.221	      -5.603	
    5.401	      -2.441	      -5.237	
    5.420	      -2.441	      -5.017	
    5.440	      -7.324	      -5.493	
    5.460	      -3.662	      -5.347	
    5.480	      -9.766	      -5.841	
    5.501	      -3.662	      -5.365	
    5.520	      -2.441	      -5.109	
    5.541	     -13.428	      -6.226	
    5.561	     -12.207	      -6.482	
    5.581	     -12.207	      -6.445	
    5.601	     -18.311	      -6.647	
    5.621	     -15.869	      -6.738	
    5.640	     -10.986	      -6.500	
    5.660	      -7.324	      -6.152	
    5.680	     -12.207	      -6.372	
    5.700	      -9.766	      -6.390	
    5.721	     -20.752	      -6.958	
    5.740	     -10.986	      -6.537	
    5.761	     -12.207	      -6.482	
    5.781	      -3.662	      -5.878	
    5.801	      -8.545	      -5.878	
    5.821	      -2.441	      -5.548	
    5.841	     -15.869	      -6.500	
    5.860	     -14.648	      -6.702	
    5.880	      -3.662	      -6.024	
    5.900	     -13.428	      -6.372	
    5.920	      -9.766	      -6.445	
    5.940	     -17.090	      -6.683	
    5.960	      -2.441	      -5.951	
    5.981	      -2.441	      -5.566	
    6.001	      -4.883	      -5.511	
    6.021	     -12.207	      -6.152	
    6.041	     -15.869	      -6.720	
    6.061	     -24.414	      -7.141	
    6.080	     -10.986	      -6.665	
    6.100	      -6.104	      -6.006	
    6.120	      -4.883	      -5.731	
    6.140	      -6.104	      -5.750	
    6.161	      -2.441	      -5.457	
    6.180	      -1.221	      -5.145	
    6.201	      -4.883	      -5.548	
    6.221	      -3.662	      -5.273	
    6.241	       0.000	      -4.651	
    6.261	      -6.104	      -4.944	
    6.281	      -6.104	      -5.457	
    6.300	      -6.104	      -5.658	
    6.320	      -9.766	      -5.914	
    6.340	     -15.869	      -6.372	
    6.360	      -6.104	      -6.097	
    6.380	      -4.883	      -5.731	
    6.400	       0.000	      -4.797	
    6.421	      -4.883	      -5.530	
    6.441	     -10.986	      -6.024	
    6.461	     -18.311	      -6.628	
    6.481	     -15.869	      -6.757	
    6.501	     -17.090	      -6.775	
    6.520	      -4.883	      -6.024	
    6.540	      -8.545	      -5.914	
    6.560	     -17.090	      -6.628	
    6.580	      -3.662	      -6.262	
    6.601	      -2.441	      -5.658	
    6.620	      -3.662	      -5.273	
    6.641	      -1.221	      -4.871	
    6.661	      -4.883	      -5.164	
    6.681	      -7.324	      -5.475	
    6.701	      -2.441	      -5.127	
    6.721	      -1.221	      -4.816	
    6.740	      -4.883	      -5.164	
    6.760	      -8.545	      -5.530	
    6.780	      -2.441	      -5.145	
    6.800	       0.000	      -5.035	
    6.820	       1.221	      -5.145	
    6.840	       1.221	      -4.688	
    6.861	       0.000	      -4.413	
    6.881	       0.000	      -5.164	
    6.901	       0.000	      -4.999	
    6.921	       1.221	      -5.786	
    6.941	       0.000	      -6.372	
    6.960	       1.221	      -5.676	
    6.980	       0.000	      -5.768	
    7.000	       0.000	      -5.823	
    7.020	       0.000	      -5.511	
    7.041	       0.000	      -5.438	
    7.060	      -1.221	      -5.676	
    7.081	       0.000	      -5.859	
    7.101	       0.000	      -6.097	
    7.121	       0.000	      -5.859	
    7.141	       0.000	      -6.812	
    7.161	       1.221	      -6.592	
    7.180	       1.221	      -6.042	
    7.200	       0.000	      -5.164	
    7.220	       1.221	      -4.797	
    7.240	       0.000	      -5.804	
    7.260	       0.000	      -5.292	
    7.280	       0.000	      -6.079	
    7.301	       1.221	      -5.658	
    7.321	       0.000	      -5.658	
    7.341	       0.000	      -6.464	
    7.361	       0.000	      -6.152	
    7.381	       0.000	      -5.786	
    7.400	       0.000	      -6.372	
    7.420	       1.221	      -6.702	
    7.440	       0.000	      -6.812	
    7.460	       0.000	      -6.482	
    7.481	       0.000	      -5.328	
    7.500	       0.000	      -5.914	
    7.521	       0.000	      -5.237	
    7.541	       0.000	      -5.219	
    7.561	       0.000	      -4.797	
    7.581	       0.000	      -5.438	
    7.601	       0.000	      -5.988	
    7.620	       1.221	      -6.244	
    7.640	       0.000	      -5.841	
    7.660	       0.000	      -5.475	
    7.680	       0.000	      -5.511	
    7.701	       0.000	      -6.024	
    7.720	       0.000	      -5.933	
