" CRUSH DATA"
"Data file SS05.txt"
"Time is 11:56:44.35."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    2.600	     -14.648	      -5.896	
    2.620	     -14.648	      -5.914	
    2.640	     -14.648	      -5.914	
    2.660	     -15.869	      -5.896	
    2.680	     -17.090	      -5.896	
    2.701	     -15.869	      -5.914	
    2.720	     -14.648	      -5.914	
    2.740	     -15.869	      -5.896	
    2.761	     -15.869	      -5.914	
    2.781	     -14.648	      -5.896	
    2.801	     -14.648	      -5.914	
    2.821	     -15.869	      -5.896	
    2.840	     -15.869	      -5.914	
    2.860	     -14.648	      -5.896	
    2.880	     -14.648	      -5.896	
    2.900	     -14.648	      -5.914	
    2.920	     -14.648	      -5.896	
    2.940	     -14.648	      -5.914	
    2.960	     -15.869	      -5.896	
    2.981	     -15.869	      -5.896	
    3.001	     -14.648	      -5.933	
    3.020	     -14.648	      -5.914	
    3.041	     -14.648	      -5.914	
    3.060	     -15.869	      -5.914	
    3.080	     -17.090	      -5.896	
    3.100	     -14.648	      -5.896	
    3.120	     -14.648	      -5.914	
    3.140	     -14.648	      -5.914	
    3.160	     -14.648	      -5.914	
    3.180	     -15.869	      -5.896	
    3.201	     -15.869	      -5.914	
    3.221	     -15.869	      -5.896	
    3.241	     -14.648	      -5.914	
    3.261	     -14.648	      -5.914	
    3.281	     -15.869	      -5.933	
    3.300	     -15.869	      -5.933	
    3.320	      -8.545	      -5.676	
    3.340	      -7.324	      -5.347	
    3.360	     -13.428	      -5.676	
    3.380	     -19.531	      -6.024	
    3.400	      -2.441	      -5.237	
    3.421	     -13.428	      -5.713	
    3.441	     -10.986	      -5.640	
    3.460	     -19.531	      -5.914	
    3.481	     -25.635	      -6.152	
    3.500	      -2.441	      -4.761	
    3.520	     -14.648	      -5.365	
    3.540	      -2.441	      -5.200	
    3.560	      -6.104	      -5.164	
    3.580	     -12.207	      -5.438	
    3.600	     -15.869	      -5.731	
    3.620	     -25.635	      -6.207	
    3.641	     -25.635	      -6.317	
    3.661	     -36.621	      -6.702	
    3.681	     -47.607	      -7.379	
    3.701	     -51.270	      -7.800	
    3.721	     -29.297	      -7.544	
    3.740	     -61.035	      -8.185	
    3.760	     -28.076	      -7.819	
    3.780	     -18.311	      -7.251	
    3.800	     -13.428	      -6.848	
    3.820	     -17.090	      -6.903	
    3.840	      -7.324	      -6.519	
    3.861	      -4.883	      -5.969	
    3.881	      -6.104	      -5.896	
    3.900	      -2.441	      -5.347	
    3.921	      -2.441	      -5.017	
    3.940	      -6.104	      -5.310	
    3.960	     -10.986	      -5.621	
    3.980	      -3.662	      -5.383	
    4.000	      -9.766	      -5.457	
    4.019	     -12.207	      -5.841	
    4.039	     -13.428	      -6.116	
    4.060	      -8.545	      -5.933	
    4.081	      -4.883	      -5.548	
    4.101	     -20.752	      -6.262	
    4.121	      -6.104	      -5.969	
    4.141	      -2.441	      -5.310	
    4.160	      -1.221	      -4.980	
    4.180	      -1.221	      -4.486	
    4.200	     -10.986	      -5.420	
    4.220	     -20.752	      -6.427	
    4.240	     -15.869	      -6.409	
    4.260	     -17.090	      -6.390	
    4.280	      -6.104	      -5.786	
    4.301	     -13.428	      -6.116	
    4.321	      -9.766	      -6.079	
    4.341	     -12.207	      -5.969	
    4.361	      -4.883	      -5.640	
    4.381	     -18.311	      -6.226	
    4.400	      -7.324	      -5.804	
    4.420	      -1.221	      -5.310	
    4.440	      -7.324	      -5.420	
    4.460	      -3.662	      -5.420	
    4.480	     -19.531	      -6.244	
    4.500	     -21.973	      -6.610	
    4.521	     -10.986	      -6.244	
    4.541	     -17.090	      -6.390	
