" CRUSH DATA"
"Data file SS05.txt"
"Time is 11:32:43.54."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    1.280	     -40.283	      -5.896	
    1.300	     -39.063	      -5.914	
    1.320	     -39.063	      -5.914	
    1.340	     -40.283	      -5.914	
    1.360	     -40.283	      -5.896	
    1.380	     -39.063	      -5.914	
    1.400	     -40.283	      -5.914	
    1.420	     -40.283	      -5.914	
    1.441	     -39.063	      -5.914	
    1.461	     -39.063	      -5.896	
    1.481	     -41.504	      -5.896	
    1.501	     -40.283	      -5.914	
    1.520	     -40.283	      -5.914	
    1.540	     -39.063	      -5.914	
    1.560	     -40.283	      -5.896	
    1.580	     -39.063	      -5.914	
    1.600	     -40.283	      -5.896	
    1.620	     -40.283	      -5.896	
    1.640	     -40.283	      -5.914	
    1.661	     -39.063	      -5.914	
    1.681	     -39.063	      -5.914	
    1.701	     -39.063	      -5.914	
    1.721	     -39.063	      -5.933	
    1.740	     -39.063	      -5.896	
    1.760	     -40.283	      -5.914	
    1.780	     -39.063	      -5.914	
    1.800	     -40.283	      -5.896	
    1.820	     -39.063	      -5.914	
    1.840	     -40.283	      -5.914	
    1.860	     -40.283	      -5.896	
    1.881	     -39.063	      -5.914	
    1.901	     -40.283	      -5.933	
    1.921	     -39.063	      -5.896	
    1.940	     -70.801	      -6.262	
    1.961	     -59.814	      -6.299	
    1.980	     -46.387	      -6.134	
    2.000	     -23.193	      -5.676	
    2.019	     -14.648	      -5.219	
    2.040	     -34.180	      -5.603	
    2.060	     -47.607	      -5.969	
    2.080	     -13.428	      -5.200	
    2.101	     -35.400	      -5.713	
    2.121	     -29.297	      -5.640	
    2.141	     -50.049	      -5.896	
    2.161	     -59.814	      -6.189	
    2.180	      -8.545	      -4.779	
    2.200	     -34.180	      -5.365	
    2.220	     -14.648	      -5.200	
    2.240	     -23.193	      -5.145	
    2.259	     -31.738	      -5.438	
    2.280	     -43.945	      -5.750	
    2.300	     -65.918	      -6.226	
    2.321	     -63.477	      -6.317	
    2.341	     -89.111	      -6.738	
    2.361	    -111.084	      -7.397	
    2.380	    -115.967	      -7.819	
    2.401	     -65.918	      -7.526	
    2.420	    -136.719	      -8.185	
    2.440	     -62.256	      -7.837	
    2.460	     -39.063	      -7.251	
    2.480	     -29.297	      -6.866	
    2.500	     -37.842	      -6.921	
    2.520	     -20.752	      -6.537	
    2.541	     -15.869	      -5.951	
    2.561	     -19.531	      -5.896	
    2.581	      -8.545	      -5.365	
    2.601	      -9.766	      -5.017	
    2.620	     -18.311	      -5.328	
    2.640	     -25.635	      -5.640	
    2.660	     -13.428	      -5.383	
    2.680	     -21.973	      -5.475	
    2.700	     -29.297	      -5.859	
    2.720	     -35.400	      -6.116	
    2.740	     -23.193	      -5.933	
    2.761	     -17.090	      -5.530	
    2.781	     -43.945	      -6.281	
    2.801	     -19.531	      -5.988	
    2.821	     -12.207	      -5.328	
    2.841	     -10.986	      -4.980	
    2.860	      -4.883	      -4.504	
    2.880	     -26.855	      -5.438	
    2.900	     -48.828	      -6.427	
    2.920	     -35.400	      -6.427	
    2.940	     -37.842	      -6.390	
    2.960	     -17.090	      -5.786	
    2.981	     -32.959	      -6.116	
    3.001	     -28.076	      -6.079	
    3.021	     -25.635	      -5.988	
    3.041	     -15.869	      -5.640	
    3.060	     -39.063	      -6.189	
    3.080	     -17.090	      -5.750	
    3.100	     -13.428	      -5.255	
    3.120	     -20.752	      -5.402	
    3.140	     -17.090	      -5.420	
    3.160	     -43.945	      -6.262	
    3.180	     -50.049	      -6.592	
    3.201	     -29.297	      -6.244	
    3.221	     -39.063	      -6.372	
    3.241	     -56.152	      -6.793	
    3.261	     -29.297	      -6.445	
    3.280	     -48.828	      -6.683	
    3.300	     -68.359	      -7.086	
