" CRUSH DATA"
"Data file SS05.txt"
"Time is 11:08:49.82."
"Date is  1-28-2005."
"TIME"	"LOAD "	"RAM"	
"Seconds"	"kN"	"MM"	
    1.580	     -85.449	      -5.914	
    1.600	     -85.449	      -5.914	
    1.620	     -85.449	      -5.914	
    1.640	     -86.670	      -5.914	
    1.660	     -85.449	      -5.914	
    1.680	     -85.449	      -5.896	
    1.700	     -85.449	      -5.914	
    1.721	     -85.449	      -5.914	
    1.741	     -85.449	      -5.896	
    1.761	     -86.670	      -5.896	
    1.781	     -85.449	      -5.896	
    1.801	     -85.449	      -5.914	
    1.820	     -86.670	      -5.896	
    1.840	     -85.449	      -5.896	
    1.860	     -86.670	      -5.896	
    1.880	     -85.449	      -5.896	
    1.900	     -86.670	      -5.896	
    1.920	     -85.449	      -5.896	
    1.941	     -85.449	      -5.914	
    1.961	     -85.449	      -5.914	
    1.981	     -86.670	      -5.914	
    2.000	     -85.449	      -5.914	
    2.021	     -86.670	      -5.896	
    2.040	     -85.449	      -5.914	
    2.060	     -85.449	      -5.914	
    2.080	     -85.449	      -5.896	
    2.100	     -85.449	      -5.914	
    2.120	     -85.449	      -5.896	
    2.140	     -86.670	      -5.896	
    2.161	     -85.449	      -5.914	
    2.180	     -90.332	      -5.933	
    2.201	    -103.760	      -5.969	
    2.221	     -83.008	      -5.896	
    2.240	    -183.105	      -6.390	
    2.259	    -142.822	      -6.409	
    2.280	    -101.318	      -6.207	
    2.300	     -45.166	      -5.713	
    2.320	     -28.076	      -5.237	
    2.341	     -73.242	      -5.658	
    2.360	    -108.643	      -6.006	
    2.381	     -24.414	      -5.164	
    2.401	     -79.346	      -5.658	
    2.421	     -54.932	      -5.603	
    2.441	    -102.539	      -5.878	
    2.461	    -131.836	      -6.171	
    2.480	      -9.766	      -4.724	
    2.500	     -70.801	      -5.365	
    2.520	     -35.400	      -5.182	
    2.540	     -42.725	      -5.145	
    2.561	     -68.359	      -5.475	
    2.580	     -92.773	      -5.768	
    2.601	    -152.588	      -6.244	
    2.621	    -144.043	      -6.335	
    2.641	    -208.740	      -6.720	
    2.660	    -269.775	      -7.416	
    2.681	    -285.645	      -7.837	
    2.700	    -157.471	      -7.562	
    2.720	    -350.342	      -8.258	
    2.740	    -141.602	      -7.874	
    2.760	     -79.346	      -7.288	
    2.780	     -58.594	      -6.903	
    2.800	     -80.566	      -6.921	
    2.821	     -43.945	      -6.500	
    2.841	     -26.855	      -5.988	
    2.861	     -36.621	      -5.914	
    2.881	     -17.090	      -5.365	
    2.901	     -14.648	      -5.035	
    2.920	     -35.400	      -5.328	
    2.940	     -50.049	      -5.640	
    2.960	     -25.635	      -5.383	
    2.980	     -40.283	      -5.493	
    3.001	     -65.918	      -5.878	
    3.020	     -76.904	      -6.116	
    3.041	     -48.828	      -5.914	
    3.061	     -28.076	      -5.566	
    3.081	     -97.656	      -6.299	
    3.100	     -43.945	      -6.006	
    3.121	     -18.311	      -5.328	
    3.140	     -15.869	      -4.999	
    3.160	      -6.104	      -4.504	
    3.180	     -56.152	      -5.457	
    3.200	    -112.305	      -6.445	
    3.220	     -79.346	      -6.409	
    3.240	     -81.787	      -6.409	
    3.261	     -32.959	      -5.750	
    3.281	     -72.021	      -6.079	
    3.301	     -54.932	      -6.061	
    3.321	     -51.270	      -5.988	
    3.341	     -28.076	      -5.640	
    3.360	     -85.449	      -6.207	
    3.380	     -30.518	      -5.750	
    3.400	     -19.531	      -5.237	
    3.420	     -37.842	      -5.402	
    3.441	     -31.738	      -5.402	
    3.460	     -93.994	      -6.189	
    3.481	    -112.305	      -6.573	
    3.501	     -61.035	      -6.244	
    3.521	     -87.891	      -6.390	
    3.541	    -131.836	      -6.812	
    3.561	     -63.477	      -6.427	
    3.580	    -111.084	      -6.683	
    3.600	    -155.029	      -7.086	
    3.620	    -109.863	      -6.995	
    3.640	    -122.070	      -7.031	
    3.660	     -54.932	      -6.519	
    3.680	     -46.387	      -6.244	
    3.701	    -139.160	      -6.976	
